country,le_F,le_M
Afghanistan,72.50563,70.465591
Albania,77.883286,75.76683
Algeria,76.326477,73.691368
Andorra,86.280518,80.405594
Angola,70.837288,68.923111
Antigua and Barbuda,79.462311,76.176163
Argentina,81.61866,75.856918
Armenia,77.09137,70.318893
Australia,85.70002,81.846008
Austria,84.722885,79.799454
Azerbaijan,78.411545,73.828011
Bahamas,81.044586,75.719147
Bahrain,79.573013,78.10643
Bangladesh,76.320297,74.608795
Barbados,83.224091,78.508087
Belarus,79.17292,68.601181
Belgium,83.82399,79.33847
Belize,80.822617,75.532478
Benin,72.199265,70.095879
Bhutan,74.908417,74.760086
Bolivia (Plurinational State of),75.971352,73.092865
Bosnia and Herzegovina,80.629341,76.336014
Botswana,73.070145,71.135162
Brazil,80.932961,75.848846
Brunei Darussalam,79.799408,77.610626
Bulgaria,79.671738,73.419647
Burkina Faso,71.410446,69.619362
Burundi,71.486237,69.265831
Cabo Verde,80.58342,74.386909
Cambodia,81.100121,77.656555
Cameroon,70.902283,69.376282
Canada,84.990005,81.310776
Central African Republic,69.110802,67.585442
Chad,69.031143,66.985977
Chile,84.20681,79.387802
China,78.833755,76.186188
Colombia,83.409248,80.112579
Comoros,72.498474,70.137726
Congo,72.705154,70.844376
Cook Islands,80.347321,76.523491
Costa Rica,82.99118,79.929878
Cote d'Ivoire,68.954697,67.972359
Croatia,82.252258,76.148689
Cuba,81.214935,78.11718
Cyprus,84.675529,81.315735
Czech Republic,82.04808,76.5355
Democratic People's Republic of Korea,77.146721,70.790382
Democratic Republic of the Congo,70.799507,68.6334
Denmark,82.631149,78.91983
Djibouti,72.682411,70.257355
Dominica,78.974541,75.367386
Dominican Republic,78.168686,77.699387
Ecuador,81.544937,78.22628
Egypt,76.318085,72.216003
El Salvador,79.75769,74.793015
Equatorial Guinea,71.324417,69.333427
Eritrea,72.466125,68.238129
Estonia,82.722481,74.147125
Ethiopia,75.159859,73.203644
Fiji,75.69619,70.749878
Finland,84.606979,79.162338
France,85.977158,80.118378
Gabon,74.18074,71.917221
Gambia,73.124359,71.190178
Georgia,80.096664,73.875229
Germany,84.011017,79.698341
Ghana,73.693222,72.188881
Greece,84.784653,80.261139
Grenada,79.617798,72.552963
Guatemala,79.866341,75.835129
Guinea,72.148399,70.794678
Guinea-Bissau,70.244881,67.464294
Guyana,71.944519,66.451759
Haiti,73.486259,71.489082
Honduras,80.751785,77.124466
Hungary,79.793564,72.845963
Iceland,84.726425,81.700043
India,75.044235,71.438179
Indonesia,76.305786,73.300217
Iran (Islamic Republic of),78.610275,76.531677
Iraq,77.225586,71.775391
Ireland,84.208084,80.56179
Israel,85.002281,81.635635
Italy,85.871796,81.483154
Jamaica,80.300781,76.33609
Japan,87.972824,81.397736
Jordan,78.055115,75.144272
Kazakhstan,75.201935,67.903778
Kenya,74.04953,71.736328
Kiribati,75.697906,72.22776
Kuwait,79.99575,79.910049
Kyrgyzstan,76.220734,70.361168
Lao People's Democratic Republic,74.762955,72.510818
Latvia,80.09288,71.681511
Lebanon,83.472626,79.320847
Lesotho,67.560303,63.741199
Liberia,72.334564,70.206268
Libya,79.322083,75.845551
Lithuania,80.60923,71.401886
Luxembourg,84.802444,80.860771
Madagascar,73.718643,71.49099
Malawi,71.891869,68.906174
Malaysia,77.842781,74.450775
Maldives,80.015457,78.366631
Mali,71.173523,70.538788
Malta,83.130562,80.510864
Marshall Islands,77.382462,74.048264
Mauritania,73.75396,71.501839
Mauritius,79.923065,73.683105
Mexico,80.233826,76.67897
Micronesia (Federated States of),74.917549,73.032333
Monaco,86.228317,80.210922
Mongolia,74.741211,68.571899
Montenegro,79.378372,75.197876
Morocco,76.315842,73.464294
Mozambique,69.12513,67.776337
Myanmar,73.992355,71.251343
Namibia,75.722618,73.024887
Nauru,85.57901,77.819382
Nepal,74.734314,72.666855
Netherlands,83.903389,80.399529
New Zealand,84.793747,82.00946
Nicaragua,79.637207,75.560501
Niger,71.883049,70.897102
Nigeria,70.570526,69.312851
Niue,78.920654,73.616119
Norway,84.49189,80.888481
Oman,80.290314,76.954758
Pakistan,74.717606,73.391724
Palau,77.227921,73.898911
Panama,83.089691,79.111641
Papua New Guinea,71.861557,67.712448
Paraguay,80.662766,76.161224
Peru,81.603539,79.025635
Philippines,75.964088,70.282219
Poland,81.915604,74.448944
Portugal,85.008163,79.001038
Qatar,80.61364,80.77018
Republic of Korea,85.593246,79.518326
Republic of Moldova,76.74202,69.561722
Romania,79.75248,73.05294
Russian Federation,77.498329,67.878464
Rwanda,74.997002,72.98008
Saint Kitts and Nevis,79.02993,73.717834
Saint Lucia,81.320663,75.540833
Saint Vincent and the Grenadines,79.166458,76.167061
Samoa,79.09304,73.065933
San Marino,84.226959,83.219208
Sao Tome and Principe,75.607719,73.53624
Saudi Arabia,79.255585,76.227066
Senegal,73.558571,71.158409
Serbia,78.384674,73.715057
Seychelles,80.661469,72.469574
Sierra Leone,66.772469,65.895416
Singapore,85.77272,81.370407
Slovakia,81.16243,74.306503
Slovenia,84.14505,78.348961
Solomon Islands,74.626862,72.327271
Somalia,71.705009,69.747581
South Africa,73.285439,65.833061
South Sudan,71.239929,69.728943
Spain,86.367905,80.74556
Sri Lanka,80.24823,74.605492
Sudan,74.150986,71.868462
Suriname,82.855515,77.810394
Swaziland,67.97084,65.909286
Sweden,84.291061,80.943726
Switzerland,85.980949,81.928322
Syrian Arab Republic,80.200485,75.717285
Tajikistan,74.302399,73.836227
Thailand,81.08149,75.087479
The former Yugoslav republic of Macedonia,78.797981,75.122833
Timor-Leste,74.564911,72.175842
Togo,72.089539,70.389786
Tonga,72.538574,76.048721
Trinidad and Tobago,77.126518,71.486038
Tunisia,80.139633,76.882034
Turkey,81.316849,75.87291
Turkmenistan,72.878578,67.576218
Tuvalu,74.182648,70.303368
Uganda,71.806366,69.187485
Ukraine,77.64447,69.412903
United Arab Emirates,79.009384,77.738846
United Kingdom,83.86351,80.378906
United Republic of Tanzania,74.08342,71.47583
United States of America,82.47905,78.634232
Uruguay,82.46273,76.008949
Uzbekistan,75.462997,71.66713
Vanuatu,76.807175,73.734894
Venezuela (Bolivarian Republic of),82.29261,77.931854
Viet Nam,83.012726,75.332741
Yemen,73.174049,70.803177
Zambia,72.482956,69.900894
Zimbabwe,73.323631,69.786942
